index,diff
639,6161
640,5655
641,5894
642,5875
643,5792
644,6140
645,5870
646,5705
647,6203
648,5841
649,5817
650,5987
651,5791
652,5642
653,6002
654,5754
655,6059
656,5877
657,5998
658,6221
659,5815
660,6025
661,6083
662,6216
663,5714
664,5936
665,6014
666,5751
667,6025
668,5797
669,5792
670,5966
671,6318
672,5884
673,6342
674,5706
675,5946
676,5793
677,5861
678,5913
679,5930
680,5927
681,6338
682,5879
683,6122
684,5816
685,6223
686,5755
687,6333
688,5993
689,6016
690,5867
691,6254
692,5964
693,6381
694,5803
695,6007
696,6153
697,6180
698,5954
699,6089
700,5725
701,5907
702,5828
703,6039
704,5906
705,6017
706,5765
707,6083
708,6295
709,6499
710,5982
711,6022
712,5889
713,6043
714,6006
715,6072
716,6160
717,6185
718,6087
719,6386
720,6020
721,6568
722,6155
723,6239
724,5800
725,6125
726,6008
727,6308
728,5915
729,6476
730,5794
731,6009
732,5854
733,6056
734,5891
735,6436
736,5984
737,6288
738,6202
739,6132
740,6002
741,6024
742,6154
743,6385
744,5995
745,5957
746,6112
747,6156
748,5962
749,6160
750,5996
751,6518
752,4920
753,6164
754,6347
755,6357
756,6144
757,6149
758,6323
759,6094
760,6279
761,6119
762,6188
763,6156
764,6254
765,6140
766,6150
767,6442
768,5983
769,5990
770,6132
771,6206
772,4833
773,7255
774,5437
775,6389
776,6179
777,6060
778,6258
779,6173
780,6191
781,6366
782,6114
783,6262
784,6267
785,6482
786,6021
787,6244
788,6110
789,6554
790,6174
791,6343
792,6130
793,6750
794,6150
795,6133
796,6126
797,6687
798,6406
799,8299
800,6142
801,6227
802,6439
803,6345
804,6241
805,6754
806,6185
807,6257
808,6270
809,7079
810,6306
811,6351
812,6095
813,6567
814,6227
815,6480
816,6127
817,6167
818,6367
819,6197
820,6378
821,6709
822,6300
823,6331
824,6139
825,7364
826,6359
827,6682
828,6076
829,6294
830,6090
831,6331
832,6466
833,6382
834,6319
835,6201
836,6108
837,6277
838,6214
839,6744
840,6612
841,6926
842,6279
843,6676
844,6294
845,6669
846,6025
847,6402
848,6305
849,6330
850,6211
851,6530
852,6356
853,6339
854,6204
855,6765
856,6496
857,6110
858,6240
859,6421
860,6676
861,6835
862,6192
863,6802
864,6573
865,6592
866,6109
867,6127
868,6395
869,6489
870,6162
871,6745
872,6345
873,6343
874,6166
875,6494
876,6553
877,6364
878,6528
879,6484
880,6011
881,6939
882,6352
883,6391
884,6483
885,7095
886,6541
887,7373
888,6290
889,6713
890,6236
891,6503
892,6394
893,6568
894,6544
895,6524
896,6286
897,6894
898,6623
899,6866
900,6607
901,6822
902,6475
903,7092
904,6335
905,6964
906,6491
907,6901
908,6377
909,6471
910,6463
911,6452
912,6669
913,6616
914,6372
915,6547
916,6592
917,6523
918,6744
919,7569
920,6681
921,6653
922,6730
923,6508
924,6510
925,6532
926,6592
927,6592
928,6426
929,6314
930,6555
931,6514
932,6520
933,7026
934,6640
935,6516
936,6524
937,6933
938,6416
939,6612
940,6447
941,7053
942,6310
943,7523
944,6600
945,6660
946,6357
947,6580
948,6699
949,6534
950,6675
951,6960
952,6583
953,6746
954,6692
955,7207
956,5760
957,6800
958,6622
959,6941
960,6632
961,6554
962,6635
963,7372
964,6627
965,7077
966,6468
967,6597
968,6760
969,7234
970,6793
971,7583
972,6678
973,7027
974,6347
975,6944
976,6417
977,6688
978,6868
979,6736
980,6730
981,7053
982,6637
983,6969
984,6740
985,7562
986,6826
987,7139
988,6933
989,6880
990,6613
991,7035
992,6814
993,6660
994,6509
995,6809
996,6784
997,6674
998,6687
999,7099
1000,6638
