,0
874,0 days 00:00:00.006166000
875,0 days 00:00:00.006494000
876,0 days 00:00:00.006553000
877,0 days 00:00:00.006364000
878,0 days 00:00:00.006528000
879,0 days 00:00:00.006484000
880,0 days 00:00:00.006011000
881,0 days 00:00:00.006939000
882,0 days 00:00:00.006352000
883,0 days 00:00:00.006391000
884,0 days 00:00:00.006483000
885,0 days 00:00:00.007095000
886,0 days 00:00:00.006541000
887,0 days 00:00:00.007373000
888,0 days 00:00:00.006290000
889,0 days 00:00:00.006713000
890,0 days 00:00:00.006236000
891,0 days 00:00:00.006503000
892,0 days 00:00:00.006394000
893,0 days 00:00:00.006568000
894,0 days 00:00:00.006544000
895,0 days 00:00:00.006524000
896,0 days 00:00:00.006286000
897,0 days 00:00:00.006894000
898,0 days 00:00:00.006623000
899,0 days 00:00:00.006866000
900,0 days 00:00:00.006607000
901,0 days 00:00:00.006822000
902,0 days 00:00:00.006475000
903,0 days 00:00:00.007092000
904,0 days 00:00:00.006335000
905,0 days 00:00:00.006964000
906,0 days 00:00:00.006491000
907,0 days 00:00:00.006901000
908,0 days 00:00:00.006377000
909,0 days 00:00:00.006471000
910,0 days 00:00:00.006463000
911,0 days 00:00:00.006452000
912,0 days 00:00:00.006669000
913,0 days 00:00:00.006616000
914,0 days 00:00:00.006372000
915,0 days 00:00:00.006547000
916,0 days 00:00:00.006592000
917,0 days 00:00:00.006523000
918,0 days 00:00:00.006744000
919,0 days 00:00:00.007569000
920,0 days 00:00:00.006681000
921,0 days 00:00:00.006653000
922,0 days 00:00:00.006730000
923,0 days 00:00:00.006508000
924,0 days 00:00:00.006510000
925,0 days 00:00:00.006532000
926,0 days 00:00:00.006592000
927,0 days 00:00:00.006592000
928,0 days 00:00:00.006426000
929,0 days 00:00:00.006314000
930,0 days 00:00:00.006555000
931,0 days 00:00:00.006514000
932,0 days 00:00:00.006520000
933,0 days 00:00:00.007026000
934,0 days 00:00:00.006640000
935,0 days 00:00:00.006516000
936,0 days 00:00:00.006524000
937,0 days 00:00:00.006933000
938,0 days 00:00:00.006416000
939,0 days 00:00:00.006612000
940,0 days 00:00:00.006447000
941,0 days 00:00:00.007053000
942,0 days 00:00:00.006310000
943,0 days 00:00:00.007523000
944,0 days 00:00:00.006600000
945,0 days 00:00:00.006660000
946,0 days 00:00:00.006357000
947,0 days 00:00:00.006580000
948,0 days 00:00:00.006699000
949,0 days 00:00:00.006534000
950,0 days 00:00:00.006675000
951,0 days 00:00:00.006960000
952,0 days 00:00:00.006583000
953,0 days 00:00:00.006746000
954,0 days 00:00:00.006692000
955,0 days 00:00:00.007207000
956,0 days 00:00:00.005760000
957,0 days 00:00:00.006800000
958,0 days 00:00:00.006622000
959,0 days 00:00:00.006941000
960,0 days 00:00:00.006632000
961,0 days 00:00:00.006554000
962,0 days 00:00:00.006635000
963,0 days 00:00:00.007372000
964,0 days 00:00:00.006627000
965,0 days 00:00:00.007077000
966,0 days 00:00:00.006468000
967,0 days 00:00:00.006597000
968,0 days 00:00:00.006760000
969,0 days 00:00:00.007234000
970,0 days 00:00:00.006793000
971,0 days 00:00:00.007583000
972,0 days 00:00:00.006678000
973,0 days 00:00:00.007027000
974,0 days 00:00:00.006347000
975,0 days 00:00:00.006944000
976,0 days 00:00:00.006417000
977,0 days 00:00:00.006688000
978,0 days 00:00:00.006868000
979,0 days 00:00:00.006736000
980,0 days 00:00:00.006730000
981,0 days 00:00:00.007053000
982,0 days 00:00:00.006637000
983,0 days 00:00:00.006969000
984,0 days 00:00:00.006740000
985,0 days 00:00:00.007562000
986,0 days 00:00:00.006826000
987,0 days 00:00:00.007139000
988,0 days 00:00:00.006933000
989,0 days 00:00:00.006880000
990,0 days 00:00:00.006613000
991,0 days 00:00:00.007035000
992,0 days 00:00:00.006814000
993,0 days 00:00:00.006660000
994,0 days 00:00:00.006509000
995,0 days 00:00:00.006809000
996,0 days 00:00:00.006784000
997,0 days 00:00:00.006674000
998,0 days 00:00:00.006687000
999,0 days 00:00:00.007099000
1000,0 days 00:00:00.006638000
