,0
199,0 days 00:00:00.005088000
200,0 days 00:00:00.004601000
201,0 days 00:00:00.004491000
202,0 days 00:00:00.004462000
203,0 days 00:00:00.005106000
204,0 days 00:00:00.004595000
205,0 days 00:00:00.004986000
206,0 days 00:00:00.004640000
207,0 days 00:00:00.004917000
208,0 days 00:00:00.004926000
209,0 days 00:00:00.004656000
210,0 days 00:00:00.004243000
211,0 days 00:00:00.004915000
212,0 days 00:00:00.004777000
213,0 days 00:00:00.004648000
214,0 days 00:00:00.004627000
215,0 days 00:00:00.005765000
216,0 days 00:00:00.004953000
217,0 days 00:00:00.004729000
218,0 days 00:00:00.004948000
219,0 days 00:00:00.005062000
220,0 days 00:00:00.004606000
221,0 days 00:00:00.005036000
222,0 days 00:00:00.004674000
223,0 days 00:00:00.005197000
224,0 days 00:00:00.004922000
225,0 days 00:00:00.004662000
226,0 days 00:00:00.005020000
227,0 days 00:00:00.005117000
228,0 days 00:00:00.004660000
229,0 days 00:00:00.004853000
230,0 days 00:00:00.005083000
231,0 days 00:00:00.005083000
232,0 days 00:00:00.004619000
233,0 days 00:00:00.004863000
234,0 days 00:00:00.004613000
235,0 days 00:00:00.004884000
236,0 days 00:00:00.004973000
237,0 days 00:00:00.005013000
238,0 days 00:00:00.004886000
239,0 days 00:00:00.004667000
240,0 days 00:00:00.004705000
241,0 days 00:00:00.005062000
242,0 days 00:00:00.004674000
243,0 days 00:00:00.005730000
244,0 days 00:00:00.004703000
245,0 days 00:00:00.005155000
246,0 days 00:00:00.004724000
247,0 days 00:00:00.005241000
248,0 days 00:00:00.004858000
249,0 days 00:00:00.004999000
250,0 days 00:00:00.004629000
251,0 days 00:00:00.004954000
252,0 days 00:00:00.005039000
253,0 days 00:00:00.005079000
254,0 days 00:00:00.004692000
255,0 days 00:00:00.004893000
256,0 days 00:00:00.004958000
257,0 days 00:00:00.005344000
258,0 days 00:00:00.004865000
259,0 days 00:00:00.005021000
260,0 days 00:00:00.004800000
261,0 days 00:00:00.004946000
262,0 days 00:00:00.004981000
263,0 days 00:00:00.005382000
264,0 days 00:00:00.004937000
265,0 days 00:00:00.006160000
266,0 days 00:00:00.004834000
267,0 days 00:00:00.005305000
268,0 days 00:00:00.004881000
269,0 days 00:00:00.005394000
270,0 days 00:00:00.004688000
271,0 days 00:00:00.005144000
272,0 days 00:00:00.005281000
273,0 days 00:00:00.004863000
274,0 days 00:00:00.004785000
275,0 days 00:00:00.004938000
276,0 days 00:00:00.004695000
277,0 days 00:00:00.005009000
278,0 days 00:00:00.004930000
279,0 days 00:00:00.004962000
280,0 days 00:00:00.004588000
281,0 days 00:00:00.004950000
282,0 days 00:00:00.005461000
283,0 days 00:00:00.005104000
284,0 days 00:00:00.005111000
285,0 days 00:00:00.005281000
286,0 days 00:00:00.005026000
287,0 days 00:00:00.004754000
288,0 days 00:00:00.004905000
289,0 days 00:00:00.005982000
290,0 days 00:00:00.005124000
291,0 days 00:00:00.005617000
292,0 days 00:00:00.004834000
293,0 days 00:00:00.005380000
294,0 days 00:00:00.004860000
295,0 days 00:00:00.004899000
296,0 days 00:00:00.005034000
297,0 days 00:00:00.005465000
298,0 days 00:00:00.005007000
299,0 days 00:00:00.005103000
300,0 days 00:00:00.004939000
301,0 days 00:00:00.005061000
302,0 days 00:00:00.004622000
303,0 days 00:00:00.005148000
304,0 days 00:00:00.004895000
305,0 days 00:00:00.004925000
306,0 days 00:00:00.004765000
307,0 days 00:00:00.004920000
308,0 days 00:00:00.004940000
309,0 days 00:00:00.005246000
310,0 days 00:00:00.005003000
311,0 days 00:00:00.004935000
312,0 days 00:00:00.004609000
313,0 days 00:00:00.004902000
314,0 days 00:00:00.004861000
315,0 days 00:00:00.005117000
316,0 days 00:00:00.005239000
317,0 days 00:00:00.006722000
318,0 days 00:00:00.004719000
319,0 days 00:00:00.005148000
320,0 days 00:00:00.005381000
321,0 days 00:00:00.005342000
322,0 days 00:00:00.004828000
323,0 days 00:00:00.005591000
324,0 days 00:00:00.004888000
325,0 days 00:00:00.005027000
326,0 days 00:00:00.004856000
327,0 days 00:00:00.005146000
328,0 days 00:00:00.005103000
329,0 days 00:00:00.004825000
330,0 days 00:00:00.004911000
331,0 days 00:00:00.004947000
332,0 days 00:00:00.004991000
333,0 days 00:00:00.004902000
334,0 days 00:00:00.004940000
335,0 days 00:00:00.006030000
336,0 days 00:00:00.005007000
337,0 days 00:00:00.005014000
338,0 days 00:00:00.004864000
339,0 days 00:00:00.005298000
340,0 days 00:00:00.005146000
341,0 days 00:00:00.004844000
342,0 days 00:00:00.005198000
343,0 days 00:00:00.005149000
344,0 days 00:00:00.005048000
345,0 days 00:00:00.005064000
346,0 days 00:00:00.005215000
347,0 days 00:00:00.004926000
348,0 days 00:00:00.005013000
349,0 days 00:00:00.005221000
350,0 days 00:00:00.005108000
351,0 days 00:00:00.005456000
352,0 days 00:00:00.005225000
353,0 days 00:00:00.005170000
354,0 days 00:00:00.004847000
355,0 days 00:00:00.005363000
356,0 days 00:00:00.005138000
357,0 days 00:00:00.005511000
358,0 days 00:00:00.005195000
359,0 days 00:00:00.004910000
360,0 days 00:00:00.005000000
361,0 days 00:00:00.005626000
362,0 days 00:00:00.005087000
363,0 days 00:00:00.005512000
364,0 days 00:00:00.005089000
365,0 days 00:00:00.005146000
366,0 days 00:00:00.004853000
367,0 days 00:00:00.005405000
368,0 days 00:00:00.005417000
369,0 days 00:00:00.004480000
370,0 days 00:00:00.005202000
371,0 days 00:00:00.005339000
372,0 days 00:00:00.005265000
373,0 days 00:00:00.005280000
374,0 days 00:00:00.005137000
375,0 days 00:00:00.005564000
376,0 days 00:00:00.005010000
377,0 days 00:00:00.005514000
378,0 days 00:00:00.005265000
379,0 days 00:00:00.005088000
380,0 days 00:00:00.005045000
381,0 days 00:00:00.005538000
382,0 days 00:00:00.005215000
383,0 days 00:00:00.005118000
384,0 days 00:00:00.004996000
385,0 days 00:00:00.005095000
386,0 days 00:00:00.005544000
387,0 days 00:00:00.005261000
388,0 days 00:00:00.005257000
389,0 days 00:00:00.005274000
390,0 days 00:00:00.005302000
391,0 days 00:00:00.005447000
392,0 days 00:00:00.004981000
393,0 days 00:00:00.006201000
394,0 days 00:00:00.005000000
395,0 days 00:00:00.005024000
396,0 days 00:00:00.005223000
397,0 days 00:00:00.005598000
398,0 days 00:00:00.005233000
399,0 days 00:00:00.005227000
400,0 days 00:00:00.005098000
401,0 days 00:00:00.005117000
402,0 days 00:00:00.005232000
403,0 days 00:00:00.005241000
404,0 days 00:00:00.005140000
405,0 days 00:00:00.005705000
406,0 days 00:00:00.005180000
407,0 days 00:00:00.005225000
408,0 days 00:00:00.005121000
409,0 days 00:00:00.005654000
410,0 days 00:00:00.005145000
411,0 days 00:00:00.005575000
412,0 days 00:00:00.005468000
413,0 days 00:00:00.005208000
414,0 days 00:00:00.005534000
415,0 days 00:00:00.005927000
416,0 days 00:00:00.005379000
417,0 days 00:00:00.005335000
418,0 days 00:00:00.005271000
419,0 days 00:00:00.005531000
420,0 days 00:00:00.005010000
421,0 days 00:00:00.006271000
422,0 days 00:00:00.005368000
423,0 days 00:00:00.005179000
424,0 days 00:00:00.005231000
425,0 days 00:00:00.005236000
426,0 days 00:00:00.004988000
